Time,OWD
77.827953,134.975
77.827953,133.766
77.827954,132.556
77.827954,131.353
77.827954,130.146
77.828009,128.995
77.828009,127.787
77.834589,133.159
77.83459,131.954
77.83459,130.747
77.834591,129.541
77.834591,128.332
77.834592,127.127
77.834636,125.964
77.841543,131.663
77.841544,130.457
77.841544,129.25
77.841544,128.043
77.841545,126.836
77.841545,125
77.854889,137.162
77.85489,135.957
77.854891,134.75
77.854891,133.542
77.854892,132.337
77.854892,131.13
77.854892,129.923
77.854893,128.716
77.854945,127.561
77.854946,126.355
77.868726,138.927
77.868727,137.721
77.868727,136.463
77.868728,135.256
77.868728,134.049
77.868729,132.843
77.868729,131.635
77.86873,130.43
77.868782,129.274
77.868783,128.068
77.868783,126.86
77.868784,125.051
77.882297,137.357
77.882298,136.151
77.882332,134.977
77.888249,139.687
77.88825,138.481
77.88825,137.274
77.888251,136.068
